FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
581,Point ZM,1,0.965277,-0.159533,1.26205,0.165285,0.083882
587,Point ZM,1,0.496723,-1.03019,-1.03193,0.165285,-0.809453
588,Point ZM,1,0.965277,0.304827,-1.46465,0.165285,0.083882
589,Point ZM,1,-0.431997,-1.03019,0.341524,0.165285,0.543944
597,Point ZM,1,0.965277,0.616158,-0.202755,0.165285,0.543944
603,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
604,Point ZM,1,0.496723,0.616158,0.341524,0.165285,0.083882
605,Point ZM,1,-0.431997,-0.159533,1.20354,0.165285,0.083882
606,Point ZM,1,0.965277,-0.159533,-0.202755,0.165285,0.083882
608,Point ZM,1,0.496723,0.304827,-0.626496,0.165285,0.543944
609,Point ZM,1,0.965277,-0.159533,-0.626496,0.165285,0.17043
611,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
612,Point ZM,1,0.496723,0.304827,-0.202755,0.165285,-0.809453
613,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.17043
614,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
618,Point ZM,1,-0.431997,0.616158,-0.202755,0.165285,0.543944
619,Point ZM,1,0.965277,-0.159533,-0.202755,0.165285,0.543944
620,Point ZM,1,0.965277,-0.186688,-0.626496,0.165285,0.543944
621,Point ZM,1,0.496723,-0.186688,1.26205,0.165285,0.543944
623,Point ZM,1,0.965277,0.304827,1.02094,0.165285,0.543944
624,Point ZM,1,-1.11444,0.616158,-0.626496,0.165285,0.17043
630,Point ZM,1,-0.873904,-0.159533,-0.044,0.165285,0.17043
633,Point ZM,0,0.965277,-0.159533,0.143557,0.165285,0.17043
634,Point ZM,0,0.965277,-0.159533,-0.202755,0.165285,0.083882
637,Point ZM,0,0.965277,0.304827,-0.202755,0.165285,0.083882
638,Point ZM,0,0.965277,0.616158,-0.202755,0.165285,0.083882
639,Point ZM,0,0.965277,0.616158,-0.202755,0.165285,-0.809453
640,Point ZM,0,0.965277,0.304827,-0.202755,0.165285,0.543944
641,Point ZM,0,0.965277,0.304827,-0.202755,0.165285,0.17043
642,Point ZM,0,0.965277,0.304827,0.341524,0.165285,0.083882
644,Point ZM,0,0.965277,-0.159533,0.341524,0.165285,0.17043
645,Point ZM,0,0.496723,0.304827,0.341524,0.165285,0.543944
646,Point ZM,0,0.965277,0.616158,1.02094,0.165285,0.17043
647,Point ZM,0,0.965277,-0.159533,0.341524,0.165285,-0.809453
648,Point ZM,0,0.965277,0.304827,0.341524,0.165285,-0.809453
650,Point ZM,0,-0.873904,-0.159533,-0.029,0.165285,0.083882
653,Point ZM,0,0.965277,-1.03019,-0.029,0.165285,-0.809453
656,Point ZM,0,0.496723,-1.03019,-0.027,0.165285,-0.298904
657,Point ZM,0,0.965277,-1.03019,-0.011,0.165285,-0.298904
658,Point ZM,0,0.496723,-1.03019,-0.011,0.165285,-0.298904
659,Point ZM,0,0.496723,0.304827,-0.682033,0.165285,0.17043
660,Point ZM,0,0.965277,0.616158,-1.03193,0.165285,0.543944
662,Point ZM,0,0.965277,0.616158,-0.682033,0.165285,0.543944
663,Point ZM,0,0.496723,0.616158,-0.682033,0.165285,0.17043
665,Point ZM,0,0.965277,-0.186688,-0.682033,0.165285,-0.809453
667,Point ZM,0,0.496723,-0.159533,-0.682033,0.165285,-0.298904
668,Point ZM,0,0.965277,-1.03019,-2.2218,0.165285,-0.298904
671,Point ZM,0,0.496723,-0.159533,-2.2218,0.165285,-0.809453
672,Point ZM,0,0.965277,-1.03019,-2.2218,0.165285,0.17043
673,Point ZM,0,0.965277,-0.159533,-0.202755,0.165285,0.083882
674,Point ZM,0,-0.431997,-0.159533,-0.202755,0.165285,0.083882
675,Point ZM,0,0.496723,-0.186688,-0.202755,0.165285,0.17043
676,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,-0.809453
678,Point ZM,0,0.496723,0.304827,-0.202755,0.165285,-0.298904
